Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	S3928	Some constructors of the ArgumentException, ArgumentNullException, ArgumentOutOfRangeException and DuplicateWaitObjectException classes must be fed with a valid parameter name. This rule raises an issue in two cases:	GrpCurl.Net.Core	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Src\GrpCurl.Net.Core\DescriptorSources\DescriptorSourceOptions.cs	68		Resolved in working tree
Error (active)	S3928	Some constructors of the ArgumentException, ArgumentNullException, ArgumentOutOfRangeException and DuplicateWaitObjectException classes must be fed with a valid parameter name. This rule raises an issue in two cases:	GrpCurl.Net.Core	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Src\GrpCurl.Net.Core\DescriptorSources\DescriptorSourceOptions.cs	73		Resolved in working tree
Error (active)	S3928	Some constructors of the ArgumentException, ArgumentNullException, ArgumentOutOfRangeException and DuplicateWaitObjectException classes must be fed with a valid parameter name. This rule raises an issue in two cases:	GrpCurl.Net.Core	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Src\GrpCurl.Net.Core\DescriptorSources\DescriptorSourceOptions.cs	78		Resolved in working tree
Error (active)	S3928	Some constructors of the ArgumentException, ArgumentNullException, ArgumentOutOfRangeException and DuplicateWaitObjectException classes must be fed with a valid parameter name. This rule raises an issue in two cases:	GrpCurl.Net.Core	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Src\GrpCurl.Net.Core\DescriptorSources\DescriptorSourceOptions.cs	83		Resolved in working tree
Error (active)	S3928	Some constructors of the ArgumentException, ArgumentNullException, ArgumentOutOfRangeException and DuplicateWaitObjectException classes must be fed with a valid parameter name. This rule raises an issue in two cases:	GrpCurl.Net.Core	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Src\GrpCurl.Net.Core\DescriptorSources\DescriptorSourceOptions.cs	88		Resolved in working tree
Error (active)	S3267	Using explicit loops for filtering, selecting, or aggregating elements can make code more verbose and harder to read. LINQ expressions provide a more concise and expressive way to perform these operations, improving code clarity and maintainability.	GrpCurl.Net.Core	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Src\GrpCurl.Net.Core\Output\ProtoFileEmitter.cs	102		Resolved in working tree
Message (active)	CA1865	The char overload is a better performing overload than a string with a single char.	GrpCurl.Net.Core	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Src\GrpCurl.Net.Core\Output\ProtoFileEmitter.cs	128		Resolved in working tree
Message (active)	CA1865	The char overload is a better performing overload than a string with a single char.	GrpCurl.Net.Core	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Src\GrpCurl.Net.Core\Output\ProtoFileEmitter.cs	129		Resolved in working tree
Error (active)	S4144	Two methods having the same implementation are suspicious. It might be that something else was intended. Or the duplication is intentional, which becomes a maintenance burden.	GrpCurl.Net.Tests.Unit	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Tests\GrpCurl.DotNet.Tests.Unit\Utilities\SecretRedactorTests.cs	42		Resolved in working tree
Error (active)	S4144	Two methods having the same implementation are suspicious. It might be that something else was intended. Or the duplication is intentional, which becomes a maintenance burden.	GrpCurl.Net.Tests.Unit	E:\DEV\Repos\Personal\verifiedcoder\grpcurl-dotnet\Tests\GrpCurl.DotNet.Tests.Unit\Utilities\SecretRedactorTests.cs	57		Resolved in working tree
